# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   4.9154666196e+00,   4.0162595746e-01,   8.9624322308e-03,   3.6857540340e+00,   9.3340000000e-01
   4.9680522592e+00,   5.5613904367e-01,   1.0546459536e-02,   4.1464384700e+00,   9.3060000000e-01
   4.9077494932e+00,   4.3438630880e-01,   9.3207972706e-03,   3.8158482540e+00,   9.3100000000e-01
   4.9017174597e+00,   5.4754118177e-01,   1.0464618309e-02,   3.6135216590e+00,   9.2160000000e-01
   4.9074574930e+00,   3.5573086578e-01,   8.4348190945e-03,   3.2701387880e+00,   9.2640000000e-01
   4.9048726115e+00,   5.1073405849e-01,   1.0106770587e-02,   3.0633424140e+00,   9.3280000000e-01
   4.9065758073e+00,   4.8549165352e-01,   9.8538485225e-03,   2.5883951240e+00,   9.3200000000e-01
   4.9074619974e+00,   6.1211876630e-01,   1.1064526798e-02,   3.3141285120e+00,   9.2360000000e-01
   4.9015847251e+00,   3.9692161386e-01,   8.9097880318e-03,   4.2315588880e+00,   9.3000000000e-01
   4.9429495904e+00,   7.4032019292e-01,   1.2168156746e-02,   3.8223940890e+00,   9.3000000000e-01
   4.8827513244e+00,   3.3642667385e-01,   8.2027638495e-03,   3.3779046380e+00,   9.2580000000e-01
   5.0522131232e+00,   3.4105341117e+00,   2.6117174854e-02,   2.7091001620e+00,   9.3200000000e-01
   4.9697238850e+00,   5.1585334094e-01,   1.0157296303e-02,   2.4934031820e+00,   9.2500000000e-01
   4.9481372394e+00,   5.3474390211e-01,   1.0341604345e-02,   2.4387234050e+00,   9.2900000000e-01
   4.9435993948e+00,   6.2164460767e-01,   1.1150287957e-02,   2.8266781370e+00,   9.3100000000e-01
   4.9262418990e+00,   4.8206188735e-01,   9.8189804700e-03,   3.0477139250e+00,   9.2720000000e-01
   5.0613284790e+00,   4.5960793247e+00,   3.0318572937e-02,   3.4351511950e+00,   9.2520000000e-01
   4.9144893255e+00,   5.5252160674e-01,   1.0512103564e-02,   3.1688586480e+00,   9.2660000000e-01
   4.9944355400e+00,   5.2079482338e-01,   1.0205829936e-02,   3.4762704990e+00,   9.2340000000e-01
   4.9145812038e+00,   4.8989429716e-01,   9.8984271191e-03,   3.6569628700e+00,   9.2660000000e-01
   5.0165426199e+00,   3.0934949786e+00,   2.4873660682e-02,   4.1480976230e+00,   9.2780000000e-01
   4.9087486701e+00,   6.1491406399e-01,   1.1089761620e-02,   3.2965437690e+00,   9.3320000000e-01
   5.0127775917e+00,   7.8380244465e-01,   1.2520402906e-02,   3.2241985550e+00,   9.3360000000e-01
   4.9704847639e+00,   6.3663532003e-01,   1.1283929458e-02,   3.1663850910e+00,   9.3200000000e-01
   4.8781532496e+00,   5.2620431726e-01,   1.0258696967e-02,   3.5713045690e+00,   9.2540000000e-01
   4.8869311624e+00,   4.6534863194e-01,   9.6472652285e-03,   3.5264907260e+00,   9.3520000000e-01
   4.9259982478e+00,   5.4080688647e-01,   1.0400066216e-02,   3.5363786350e+00,   9.3420000000e-01
   4.9389897769e+00,   6.8421412436e-01,   1.1697983795e-02,   3.8322034100e+00,   9.3320000000e-01
   5.0583147386e+00,   1.8199425158e+00,   1.9078482727e-02,   3.4571500170e+00,   9.3160000000e-01
   5.0234746832e+00,   7.2562952755e-01,   1.2046821386e-02,   3.8309939240e+00,   9.3120000000e-01
   4.9744423596e+00,   6.4223567769e-01,   1.1333452057e-02,   3.9054215320e+00,   9.3000000000e-01
   4.9458531020e+00,   6.1408062519e-01,   1.1082243682e-02,   4.1566569370e+00,   9.2160000000e-01
